# TELEGRAM SCANNER CALLS LOG — LAST 3 MONTHS (MAY 14, 2026 - AUG 14, 2026)
# Total Records: 205
# Format: Enriched Tabular Text / Markdown & JSON Copy-Paste Ready

| Signal ID | Timestamp (UTC) | Call Action | Symbol | Direction | Pattern | AI Score | Entry | SL | TP | Call Summary |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| SIG-20260814-053232-ETHUSD-L-399951 | 2026-08-14T05:32:32.070550 | **SIGNAL: LONG ETH/USD** | ETH/USD | LONG | Asian Range LONG Fade | 7.6 | 1881.19 | 1878.58 | 1889.02 | LONG call on ETH/USD via Asian Range LONG Fade (AI Score: 7.6/10). Entry: 1881.19, SL: 1878.58, TP: 1889.02 |
| SCAN-ID-29091 | 2026-08-12T14:39:10.282320+00:00 | **CALL: SHORT ETH/USD** | ETH/USD | SHORT | Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) | 9.0 | N/A | N/A | N/A | SHORT alert on ETH/USD via Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) (AI Score: 9.0/10, Session: NY_OPEN, Regime: MEAN_REVERSION) |
| SCAN-ID-29089 | 2026-08-12T14:36:07.019775+00:00 | **CALL: SHORT ETH/USD** | ETH/USD | SHORT | Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) | 9.0 | N/A | N/A | N/A | SHORT alert on ETH/USD via Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) (AI Score: 9.0/10, Session: NY_OPEN, Regime: MEAN_REVERSION) |
| SCAN-ID-29087 | 2026-08-12T14:33:03.333627+00:00 | **CALL: SHORT BTC/USD** | BTC/USD | SHORT | Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) | 9.0 | N/A | N/A | N/A | SHORT alert on BTC/USD via Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) (AI Score: 9.0/10, Session: NY_OPEN, Regime: MEAN_REVERSION) |
| SCAN-ID-29081 | 2026-08-12T14:17:50.849840+00:00 | **CALL: SHORT BTC/USD** | BTC/USD | SHORT | Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) | 9.0 | N/A | N/A | N/A | SHORT alert on BTC/USD via Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) (AI Score: 9.0/10, Session: NY_OPEN, Regime: MEAN_REVERSION) |
| SCAN-ID-28913 | 2026-08-12T03:34:49.750362+00:00 | **CALL: SHORT BTC/USD** | BTC/USD | SHORT | Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) | 9.0 | N/A | N/A | N/A | SHORT alert on BTC/USD via Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) (AI Score: 9.0/10, Session: OFF_HOURS, Regime: MEAN_REVERSION) |
| SCAN-ID-28911 | 2026-08-12T03:31:47.087025+00:00 | **CALL: SHORT BTC/USD** | BTC/USD | SHORT | Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) | 9.0 | N/A | N/A | N/A | SHORT alert on BTC/USD via Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) (AI Score: 9.0/10, Session: OFF_HOURS, Regime: MEAN_REVERSION) |
| SCAN-ID-28898 | 2026-08-12T02:52:16.741812+00:00 | **CALL: SHORT BTC/USD** | BTC/USD | SHORT | Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) | 9.0 | N/A | N/A | N/A | SHORT alert on BTC/USD via Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) (AI Score: 9.0/10, Session: OFF_HOURS, Regime: MEAN_REVERSION) |
| SCAN-ID-28878 | 2026-08-12T01:33:17.030382+00:00 | **CALL: SHORT BTC/USD** | BTC/USD | SHORT | Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) | 9.0 | N/A | N/A | N/A | SHORT alert on BTC/USD via Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) (AI Score: 9.0/10, Session: OFF_HOURS, Regime: MEAN_REVERSION) |
| SCAN-ID-28876 | 2026-08-12T01:30:14.098162+00:00 | **CALL: SHORT BTC/USD** | BTC/USD | SHORT | Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) | 9.0 | N/A | N/A | N/A | SHORT alert on BTC/USD via Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) (AI Score: 9.0/10, Session: OFF_HOURS, Regime: MEAN_REVERSION) |
| SCAN-ID-28812 | 2026-08-11T21:44:50.337598+00:00 | **CALL: SHORT ETH/USD** | ETH/USD | SHORT | Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) | 9.0 | N/A | N/A | N/A | SHORT alert on ETH/USD via Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) (AI Score: 9.0/10, Session: OFF_HOURS, Regime: MEAN_REVERSION) |
| SCAN-ID-28810 | 2026-08-11T21:41:46.979624+00:00 | **CALL: SHORT ETH/USD** | ETH/USD | SHORT | Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) | 9.0 | N/A | N/A | N/A | SHORT alert on ETH/USD via Bayesian Pivot Turtle Soup SHORT (MEAN_REVERSION) (AI Score: 9.0/10, Session: OFF_HOURS, Regime: MEAN_REVERSION) |
